Codes,Names,theft_year_minus_3,theft_year_minus_2,theft_year_minus_1,theft_now,theft_2012
E01001762,Hackney 017D,124,109,106,121,148
E01001763,Hackney 020C,47,53,69,59,62
E01001764,Hackney 010A,43,58,39,60,46
E01001765,Hackney 010B,36,27,42,28,36
E01001766,Hackney 010C,59,67,82,81,71
E01001767,Hackney 010D,44,44,33,45,47
E01001768,Hackney 006D,43,49,42,41,45
E01001769,Hackney 006E,33,56,55,52,35
E01001770,Hackney 010E,50,58,52,60,98
E01001771,Hackney 027A,1667,1867,2008,2604,2386
E01001772,Hackney 024A,34,27,26,22,28
E01001773,Hackney 025E,93,74,77,83,83
E01001774,Hackney 024B,107,76,75,112,95
E01001775,Hackney 024C,54,37,31,42,36
E01001776,Hackney 025F,66,61,58,55,50
E01001777,Hackney 027B,161,168,171,309,271
E01001778,Hackney 027C,135,146,160,138,142
E01001779,Hackney 026A,80,68,63,125,148
E01001780,Hackney 027D,87,103,128,153,167
E01001781,Hackney 026B,36,35,27,34,54
E01001782,Hackney 026C,58,47,55,47,46
E01001783,Hackney 026D,25,25,18,31,26
E01001784,Hackney 027E,58,42,41,42,43
E01001785,Hackney 015B,38,45,44,46,33
E01001786,Hackney 013A,41,55,49,52,56
E01001787,Hackney 013B,21,26,25,34,25
E01001788,Hackney 013C,14,19,27,26,19
E01001789,Hackney 015C,42,34,45,39,26
E01001790,Hackney 013D,7,11,17,17,12
E01001791,Hackney 015D,30,17,40,30,25
E01001792,Hackney 011A,42,60,56,58,54
E01001793,Hackney 011B,38,44,48,46,34
E01001794,Hackney 011C,77,72,54,61,58
E01001795,Hackney 011D,73,49,65,65,51
E01001796,Hackney 011E,84,42,49,53,52
E01001797,Hackney 005C,56,62,95,79,76
E01001798,Hackney 005D,47,48,62,60,43
E01001799,Hackney 003A,34,22,23,26,18
E01001800,Hackney 004C,92,104,80,92,90
E01001801,Hackney 008B,15,18,13,34,16
E01001802,Hackney 003B,35,33,23,26,33
E01001803,Hackney 008C,32,34,30,53,25
E01001804,Hackney 003C,22,22,29,25,16
E01001805,Hackney 009B,45,47,39,55,43
E01001806,Hackney 008D,53,40,53,62,58
E01001807,Hackney 003D,33,36,27,32,26
E01001808,Hackney 001A,165,122,86,100,98
E01001809,Hackney 001B,44,28,32,31,31
E01001810,Hackney 002C,14,9,23,23,22
E01001811,Hackney 002D,17,19,40,33,37
E01001812,Hackney 003E,27,33,35,40,26
E01001813,Hackney 002E,55,43,65,58,70
E01001814,Hackney 001C,93,92,95,65,60
E01001815,Hackney 024D,37,30,50,36,34
E01001816,Hackney 020D,60,64,67,66,76
E01001817,Hackney 021F,140,188,196,283,254
E01001818,Hackney 023A,399,431,426,484,609
E01001819,Hackney 020E,60,63,38,47,61
E01001820,Hackney 024E,28,33,34,32,34
E01001821,Hackney 024F,21,13,22,27,43
E01001822,Hackney 005E,34,36,46,35,63
E01001823,Hackney 001D,28,29,31,36,44
